ES_Agent

episode_num,mean_reward,std_reward,mean_reward_comfort_term,std_reward_comfort_term,mean_reward_energy_term,std_reward_energy_term,mean_comfort_penalty,std_comfort_penalty,mean_energy_penalty,std_energy_penalty,mean_temperature_violation,std_temperature_violation,mean_power_demand,std_power_demand,cumulative_power_demand,comfort_violation_time(%),length(timesteps),time_elapsed(hours),terminated,truncated
1,-0.7499265027562808,0.7849981371194151,-0.0023805855105513063,0.018128781422196233,-0.7475459172457295,0.7854696717339112,-0.0047611710211026125,0.036257562844392466,-14950.91834491459,15709.393434678226,0.0047611710211026125,0.036257562844392466,14950.91834491459,15709.393434678226,785805317.2903659,3.2782206662988265,52559,8760.0,False,False
2,-0.7142603067314948,0.7753562270943702,-0.0036783395442300214,0.022689247048730644,-0.7105819671872649,0.7761683741225317,-0.007356679088460043,0.04537849409746129,-14211.639343745295,15523.367482450632,0.007356679088460043,0.04537849409746129,14211.639343745295,15523.367482450632,746949552.2679089,3.955554709945014,52559,8760.0,False,False
3,-0.7271922669313949,0.7810468140217356,-0.004133543451160324,0.02479064271539198,-0.7230587234802345,0.7820021318845206,-0.008267086902320649,0.04958128543078396,-14461.17446960469,15640.042637690412,0.008267086902320649,0.04958128543078396,14461.17446960469,15640.042637690412,760064868.9479529,4.018341292642554,52559,8760.0,False,False
4,-0.7194586965846849,0.7732375951727447,-0.003860943914896437,0.023475807812356243,-0.7155977526697884,0.7738653743954863,-0.007721887829792874,0.046951615624712485,-14311.955053395766,15477.307487909726,0.007721887829792874,0.046951615624712485,14311.955053395766,15477.307487909726,752222045.6514281,3.9022812458380107,52559,8760.0,False,False
5,-0.7130951721469986,0.7747392279638271,-0.00482793915352321,0.026697034514401533,-0.7082672329934754,0.7756929962257276,-0.00965587830704642,0.053394069028803066,-14165.344659869506,15513.859924514552,0.00965587830704642,0.053394069028803066,14165.344659869506,15513.859924514552,744516349.9780813,4.3722293042105065,52559,8760.0,False,False
6,-0.7189778127897285,0.7762406440588839,-0.004315623335556479,0.024929868588522832,-0.714662189454172,0.7773355905599831,-0.008631246671112957,0.049859737177045664,-14293.24378908344,15546.711811199662,0.008631246671112957,0.049859737177045664,14293.24378908344,15546.711811199662,751238600.3104366,4.223824654198139,52559,8760.0,False,False
7,-0.7285536150450593,0.7796933135129993,-0.0038504314746933845,0.023566395033352006,-0.7247031835703661,0.7803913269750798,-0.007700862949386769,0.04713279006670401,-14494.063671407323,15607.826539501597,0.007700862949386769,0.04713279006670401,14494.063671407323,15607.826539501597,761793492.5054975,3.7310451112083567,52559,8760.0,False,False
8,-0.7201924122990976,0.7788052073185658,-0.004379788815906561,0.02508444824843207,-0.7158126234831907,0.7797301701863986,-0.008759577631813122,0.05016889649686414,-14316.252469663816,15594.603403727971,0.008759577631813122,0.05016889649686414,14316.252469663816,15594.603403727971,752447913.5530605,4.214311535607603,52559,8760.0,False,False
9,-0.7194680430008669,0.7750832883812783,-0.004438793416988205,0.025135534630787347,-0.7150292495838785,0.776000279804817,-0.00887758683397641,0.050271069261574694,-14300.58499167757,15520.00559609634,0.00887758683397641,0.050271069261574694,14300.58499167757,15520.00559609634,751624446.5775814,4.315150592667289,52559,8760.0,False,False
10,-0.7244337129900633,0.7819250387222941,-0.0038242705630005228,0.023077334758930628,-0.720609442427063,0.7823640364789882,-0.0076485411260010456,0.046154669517861256,-14412.188848541258,15647.280729579765,0.0076485411260010456,0.046154669517861256,14412.188848541258,15647.280729579765,757490233.69048,3.8394946631404707,52559,8760.0,False,False

EnergyPlus BASELINE

episode_num,mean_reward,std_reward,mean_reward_comfort_term,std_reward_comfort_term,mean_reward_energy_term,std_reward_energy_term,mean_comfort_penalty,std_comfort_penalty,mean_energy_penalty,std_energy_penalty,mean_temperature_violation,std_temperature_violation,mean_power_demand,std_power_demand,cumulative_power_demand,comfort_violation_time(%),length(timesteps),time_elapsed(hours),terminated,truncated
1,-0.8277264359359537,0.8148524802997459,0.0,0.0,-0.8277264359359537,0.8148524802997459,0.0,0.0,-16554.528718719073,16297.049605994915,0.0,0.0,16554.528718719073,16297.049605994915,870089474.9271557,0.0,52559,8760.0,False,False
2,-0.8305063963125002,0.814156292460041,0.0,0.0,-0.8305063963125002,0.814156292460041,0.0,0.0,-16610.127926250003,16283.125849200818,0.0,0.0,16610.127926250003,16283.125849200818,873011713.6757739,0.0,52559,8760.0,False,False
3,-0.8460916145937616,0.8200333203005078,0.0,0.0,-0.8460916145937616,0.8200333203005078,0.0,0.0,-16921.83229187523,16400.666406010154,0.0,0.0,16921.83229187523,16400.666406010154,889394583.4286703,0.0,52559,8760.0,False,False
4,-0.8382698710912678,0.812398850941813,0.0,0.0,-0.8382698710912678,0.812398850941813,0.0,0.0,-16765.397421825357,16247.977018836262,0.0,0.0,16765.397421825357,16247.977018836262,881172523.093719,0.0,52559,8760.0,False,False
5,-0.8310340609291798,0.8153117231201745,0.0,0.0,-0.8310340609291798,0.8153117231201745,0.0,0.0,-16620.68121858359,16306.234462403492,0.0,0.0,16620.68121858359,16306.234462403492,873566384.1675351,0.0,52559,8760.0,False,False
6,-0.8361262785908655,0.8152504780229676,0.0,0.0,-0.8361262785908655,0.8152504780229676,0.0,0.0,-16722.52557181731,16305.009560459352,0.0,0.0,16722.52557181731,16305.009560459352,878919221.5291461,0.0,52559,8760.0,False,False
